Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.166647841,0.17287094,7.80005e-4,8.57408e-4,0.27698,1,8.431818181818182,444.7181818181818,321.708793133027,0,-207.00981851446554,22.23590909090909,41.822143107293506,-57.337579532136665,0,0,74.11132485344545,0.3468824054090909,-35.78598191582506,-0.17749187447285086,38.32534293762039,0.16939053093624
2,0.166656843,0.171986777,7.80079e-4,8.54482e-4,0.27669,1,4.908227272727273,258.87392987012987,187.269203187587,0,-129.2796983748221,12.943696493506494,24.344996414386312,-35.77039974332952,0,0,43.14311188715924,0.20194211633916104,-22.23439865501779,-0.11046717522671473,20.90871323214145,0.0914749411124463
3,0.167804587,0.17159233,7.89451e-4,8.58472e-4,0.27473,1,3.6175454545454544,190.7996831168831,138.0243450689223,0,-98.92420272978616,9.539984155844156,17.943164858959896,-27.17744621595415,0,0,32.01706202515944,0.1506270006363065,-16.974634439796365,-0.08492365816584499,15.042427585363075,0.0657033424704615
4,0.168445758,0.17683168,7.94686e-4,8.79026e-4,0.25853,1,2.8249545454545455,148.99617402597403,107.78371851441776,0,-78.6843921267283,7.449808701298702,14.01188340687431,-20.342275896523066,0,0,25.097773472905107,0.1184051735520052,-13.913893249548137,-0.06916562647358947,11.18388022335697,0.04923954707841573
5,0.168007214,0.177803667,7.91105e-4,8.80258e-4,0.25812,1,3.3269545454545453,175.47308831168831,126.93709809048866,0,-93.02080140705179,8.773654415584415,16.501822751763527,-24.01052925918821,0,0,29.480744699222715,0.13881763752881818,-16.539439597452567,-0.08188230460496859,12.941305101770148,0.056935332923849585
6,0.168638309,0.180514501,7.96259e-4,8.92279e-4,0.2463,1,0.6966818181818182,36.74498961038961,26.58129742506687,0,-19.244299884432287,1.8372494805194806,3.4555686652586934,-4.7398710615356725,0,0,6.196612912118672,0.029258528682179222,-3.473875190732652,-0.017171284656581357,2.72273772138602,0.012087244025597865
7,0.169066514,0.175731337,7.99755e-4,8.57572e-4,0.275491509,1,0.2838636363636364,14.971779220779222,10.830573655610532,0,-7.543769688327821,0.7485889610389611,1.4079745752293693,-2.078244494985891,0,0,2.5312265212347795,0.011973755290714287,-1.325676733349921,-0.006469325659158666,1.2055497878848584,0.005504429631555621
8,0.162696782,0.163955638,7.47742e-4,7.88557e-4,0.355060543,1,0.33281818181818185,17.553781818181818,12.698392362911179,15844.13384,-7.9355443425984324,0.877689090909091,1.6507910071784533,-2.8175986832835775,-2.8175986832835775,0,2.8559438137482913,0.013125699924290909,-1.3010772355680165,-0.006257629040166392,1.5548665781802748,0.006868070884124517
9,0.152665174,0.141916311,6.65827e-4,6.47504e-4,0.452377598,1,1.1210454545454545,59.12714025974026,60.930947520452484,34305.6488,-76.59758657662485,7.095256831168831,7.921023177658824,-34.65103222813059,-34.65103222813059,0,9.026655155875652,0.03936844641772208,-9.026655155875652,-0.03936844641772208,0,0
10,0.148016072,0.131528435,6.27864e-4,5.70479e-4,0.493347557,1,1.392,73.41805714285714,75.65784117367461,119482.4552,-84.74319534082936,8.810166857142857,9.8355193525777,-41.80784839377195,-41.80784839377195,0,10.867052432157257,0.04609655502994285,-10.867052432157257,-0.04609655502994285,0,0
