Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,1,10.54640909090909,10.54640909090909,7.1056425976795445,0,-3.440766493229546,0.6327845454545454,0.9237335376983408,-0.7518886430114646,0,0,2.511853925145727,0.009381948423954544,-0.8194924686714898,-0.003060861142412592,1.692361456474237,0.0063210872815419525
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,1,8.193636363636363,8.193636363636363,5.520462090318182,0,-2.6731742733181822,0.4916181818181818,0.7176600717413636,-0.5834565333948395,0,0,1.9454444805854545,0.007269951349090908,-0.6347013590632287,-0.002371821991138477,1.3107431215222258,0.004898129357952431
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,1,4.003681818181818,4.003681818181818,2.6974804248159083,0,-1.3062013933659091,0.24022090909090904,0.3506724552260681,-0.28325982075871653,0,0,0.9560837583569999,0.0035800562486818176,-0.3119223739681592,-0.0011679935301352558,0.6441613843888407,0.002412062718546562
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1,2.322090909090909,2.322090909090909,1.5645086338954544,0,-0.7575822751954546,0.13932545454545453,0.20338612240640908,-0.15224031202414148,0,0,0.5688286101139091,0.0021272976689999997,-0.18558036249109336,-6.940309708761335e-4,0.38324824762281573,0.0014332666981238663
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1,2.6306363636363637,2.6306363636363637,1.7723911184681818,0,-0.858245245168182,0.15783818181818182,0.23041084540086362,-0.17191854662307166,0,0,0.6449285602822727,0.002409157826909091,-0.21040797503851955,-7.859878614869825e-4,0.4345205852437532,0.0016231699654221084
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1,1.0778636363636365,1.0778636363636365,0.7262105711068182,0,-0.3516530652568183,0.06467181818181819,0.09440737424388637,-0.06637822776532823,0,0,0.26800342059454546,0.0010009009391363636,-0.08743612936914151,-3.2654398143828567e-4,0.18056729122540394,6.743569576980779e-4
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1,1.255590909090909,1.255590909090909,0.8459543122204544,0,-0.40963659687045456,0.07533545454545454,0.10997406058865906,-0.08036633112204096,0,0,0.3120764662916818,0.0011663460184545454,-0.1018149627314845,-3.805204468380964e-4,0.2102615035601973,7.85825571616449e-4
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1,1.569909090909091,1.569909090909091,1.0577261715045454,11,-0.5121829194045455,0.09419454545454545,0.1375044022955909,-0.14088131192673953,-0.14088131192673953,0,0.3521950868271818,0.0013072695796363637,-0.11490366468712243,-4.264967657198427e-4,0.23729142214005938,8.807728139165209e-4
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1,0.7808181818181819,0.7808181818181819,0.8599689192690909,11488,0.079150737450909045,0.07027363636363636,0.060197824348836367,0.02947396149189815,0.02947396149189815,0,0.150449682306,5.523788912727272e-4,0.015250929833685378,5.599408109932129e-5,0.16570061213968537,6.083729723720486e-4
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1,1.5860454545454545,1.5860454545454545,1.746821253932727,32469,0.1607757993872726,0.1427440909090909,0.1222774877752909,0.06645628390145122,0.06645628390145122,0,0.28569831698045456,0.0010412547013636364,0.02896094507536989,1.0555092005573833e-4,0.31465926205582445,0.0011468056214193746
