Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,9.81276260763194,0.06,10.54640909090909,10.54640909090909,0.13,9.81276260763194,-0.7336464832771505,0,1,6.81050186659091,0.06,10.54640909090909,10.54640909090909,0.13,6.81050186659091,-3.735907224318181,0,1,19.69393647291226,0.06,10.54640909090909,10.54640909090909,0.13,19.69393647291226,9.147527382003169,0,1
2,7.355504776060848,0.06,8.193636363636363,8.193636363636363,0.13,7.355504776060848,-0.838131587575515,0,1,5.291163586363637,0.06,8.193636363636363,8.193636363636363,0.13,5.291163586363637,-2.9024727772727266,0,1,14.076797068640435,0.06,8.193636363636363,8.193636363636363,0.13,14.076797068640435,5.883160705004071,0,1
3,3.520334346531065,0.06,4.003681818181818,4.003681818181818,0.13,3.520334346531065,-0.483347471650753,0,1,2.5854375893181816,0.06,4.003681818181818,4.003681818181818,0.13,2.5854375893181816,-1.418244228863636,0,1,6.543594026694225,0.06,4.003681818181818,4.003681818181818,0.13,6.543594026694225,2.5399122085124075,0,1
4,2.020287757428383,0.06,2.322090909090909,2.322090909090909,0.13,2.020287757428383,-0.30180315166252614,0,1,1.4995250359090908,0.06,2.322090909090909,2.322090909090909,0.13,1.4995250359090908,-0.8225658731818182,0,1,3.70298241266012,0.06,2.322090909090909,2.322090909090909,0.13,3.70298241266012,1.3808915035692109,0,1
5,2.2839115491235176,0.06,2.6306363636363637,2.6306363636363637,0.13,2.2839115491235176,-0.34672481451284626,0,1,1.6987728913636364,0.06,2.6306363636363637,2.6306363636363637,0.13,1.6987728913636364,-0.9318634722727273,0,1,4.1859838224982635,0.06,2.6306363636363637,2.6306363636363637,0.13,4.1859838224982635,1.5553474588618998,0,1
6,0.9425574523028188,0.06,1.0778636363636365,1.0778636363636365,0.13,0.9425574523028188,-0.13530618406081762,0,1,0.6960466111363638,0.06,1.0778636363636365,1.0778636363636365,0.13,0.6960466111363638,-0.3818170252272727,0,1,1.7537214464264388,0.06,1.0778636363636365,1.0778636363636365,0.13,1.7537214464264388,0.6758578100628023,0,1
7,1.1218393335705068,0.06,1.255590909090909,1.255590909090909,0.13,1.1218393335705068,-0.1337515755204021,0,1,0.8108166634090909,0.06,1.255590909090909,1.255590909090909,0.13,0.8108166634090909,-0.4447742456818181,0,1,2.161906554969057,0.06,1.255590909090909,1.255590909090909,0.13,2.161906554969057,0.9063156458781481,0,1
8,1.479148337270096,0.06,1.569909090909091,1.569909090909091,0.13,1.479148337270096,-0.09076075363899487,11,1,1.0137923440909091,0.06,1.569909090909091,1.569909090909091,0.13,1.0137923440909091,-0.5561167468181818,11,1,3.0581922315263865,0.06,1.569909090909091,1.569909090909091,0.13,3.0581922315263865,1.4882831406172956,11,1
9,1.0415679700659823,0.09,0.7808181818181819,0.7808181818181819,0.07,1.0415679700659823,0.2607497882478006,11488,1,0.7055350682058248,0.09,0.7808181818181819,0.7808181818181819,0.07,0.7055350682058248,-0.07528311361235707,11488,1,2.6663270183215846,0.09,0.7808181818181819,0.7808181818181819,0.07,2.6663270183215846,1.8855088365034027,11488,1
10,2.4297893430054787,0.09,1.5860454545454545,1.5860454545454545,0.07,2.4297893430054787,0.8437438884600241,32469,1,1.7336534181818182,0.09,1.5860454545454545,1.5860454545454545,0.07,1.7336534181818182,0.14760796363636364,32469,1,6.671912385588993,0.09,1.5860454545454545,1.5860454545454545,0.07,6.671912385588993,5.0858669310435385,32469,1
11,6.335395781547974,0.09,3.8221363636363637,3.8221363636363637,0.07,6.335395781547974,2.51325941791161,43260,1,4.177849854545454,0.09,3.8221363636363637,3.8221363636363637,0.07,4.177849854545454,0.35571349090909044,43260,1,17.848440839374895,0.09,3.8221363636363637,3.8221363636363637,0.07,17.848440839374895,14.026304475738531,43260,1
12,4.664063564168332,0.09,2.685909090909091,2.685909090909091,0.07,4.664063564168332,1.9781544732592409,52447,1,2.935877696969697,0.09,2.685909090909091,2.685909090909091,0.07,2.935877696969697,0.2499686060606061,52447,1,13.176324701406243,0.09,2.685909090909091,2.685909090909091,0.07,13.176324701406243,10.490415610497152,52447,1
13,7.20333595730794,0.11,4.694954545454546,4.694954545454546,0.07,7.20333595730794,2.508381411853394,67105,1,5.320578579338844,0.11,4.694954545454546,4.694954545454546,0.07,5.320578579338844,0.6256240338842982,67105,1,15.882176311627058,0.11,4.694954545454546,4.694954545454546,0.07,15.882176311627058,11.187221766172513,67105,1
14,9.748627473150522,0.11,6.263545454545454,6.263545454545454,0.07,9.748627473150522,3.485082018605068,67271,1,7.098191357024794,0.11,6.263545454545454,6.263545454545454,0.07,7.098191357024794,0.8346459024793393,67271,1,21.430094126547985,0.11,6.263545454545454,6.263545454545454,0.07,21.430094126547985,15.16654867200253,67271,1
15,5.1868032501732655,0.11,3.2328636363636365,3.2328636363636365,0.07,5.1868032501732655,1.9539396138096294,45859,1,3.663657410743802,0.11,3.2328636363636365,3.2328636363636365,0.07,3.663657410743802,0.4307937743801653,45859,1,11.482767958507752,0.11,3.2328636363636365,3.2328636363636365,0.07,11.482767958507752,8.249904322144115,45859,1
16,8.439172520434328,0.11,5.035227272727273,5.035227272727273,0.07,8.439172520434328,3.403945247707054,45860,1,5.706194194214876,0.11,5.035227272727273,5.035227272727273,0.07,5.706194194214876,0.6709669214876035,45860,1,18.880853007478912,0.11,5.035227272727273,5.035227272727273,0.07,18.880853007478912,13.84562573475164,45860,1
17,7.302788891968438,0.11,6.309136363636363,6.309136363636363,0.29,7.302788891968438,0.9936525283320753,12377,1,1.6611497199173557,0.11,6.309136363636363,6.309136363636363,0.29,1.6611497199173557,-4.647986643719007,12377,1,25.01476441081338,0.11,6.309136363636363,6.309136363636363,0.29,25.01476441081338,18.70562804717702,12377,1
18,5.007238856262992,0.11,4.405590909090909,4.405590909090909,0.29,5.007238856262992,0.6016479471720825,1730,1,1.1599600457024797,0.11,4.405590909090909,4.405590909090909,0.29,1.1599600457024797,-3.2456308633884294,1730,1,16.797423561404365,0.11,4.405590909090909,4.405590909090909,0.29,16.797423561404365,12.391832652313456,1730,1
19,5.915073836348852,0.09,8.351090909090908,8.351090909090908,0.29,5.834765848991276,-2.5163250600996325,0,1,0,0.09,8.351090909090908,8.351090909090908,0.29,-0.39250127272727214,-8.743592181818181,0,1,34.375346280305905,0.09,8.351090909090908,8.351090909090908,0.29,34.375346280305905,26.024255371215,0,1
20,8.324417833524477,0.09,12.866181818181818,12.866181818181818,0.29,8.20069062494266,-4.66549119323916,0,1,0,0.09,12.866181818181818,12.866181818181818,0.29,-0.6047105454545446,-13.470892363636363,0,1,45.992045726961656,0.09,12.866181818181818,12.866181818181818,0.29,45.992045726961656,33.125863908779834,0,1
21,6.613722563125812,0.09,7.875318181818182,7.875318181818182,0.29,6.537989828340963,-1.3373283534772187,0,1,0,0.09,7.875318181818182,7.875318181818182,0.29,-0.370139954545454,-8.245458136363636,0,1,36.91292315576431,0.09,7.875318181818182,7.875318181818182,0.29,36.91292315576431,29.03760497394613,0,1
22,12.934475186936222,0.09,9.912045454545455,9.912045454545453,0.13,12.934475186936222,3.02242973239077,0,1,7.836463136363634,0.09,9.912045454545455,9.912045454545453,0.13,7.836463136363634,-2.0755823181818185,0,1,40.37028589630923,0.09,9.912045454545455,9.912045454545453,0.13,40.37028589630923,30.458240441763774,0,1
23,17.02220506757954,0.09,14.398318181818182,14.398318181818182,0.13,17.02220506757954,2.62388688576136,0,1,11.383310354545454,0.09,14.398318181818182,14.398318181818182,0.13,11.383310354545454,-3.0150078272727274,0,1,49.964459565072474,0.09,14.398318181818182,14.398318181818182,0.13,49.964459565072474,35.56614138325429,0,1
24,8.288658338327389,0.06,8.373227272727274,8.373227272727274,0.13,8.288658338327389,-0.084568934399885,0,1,5.407137109772728,0.06,8.373227272727274,8.373227272727274,0.13,5.407137109772728,-2.9660901629545453,0,1,17.881800644892472,0.06,8.373227272727274,8.373227272727274,0.13,17.881800644892472,9.508573372165198,0,1
