Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,648.1166319604422,0.05,12.71575,670.6704718959732,0.05,648.1166319604422,-22.553839935530966,0,0,575.8285304947426,0.05,12.71575,670.6704718959732,0.05,575.8285304947426,-94.84194140123054,0,0,711.0098642770498,0.05,12.71575,670.6704718959732,0.05,711.0098642770498,40.339392381076664,0,0
2,567.7450394281219,0.05,11.146645454545455,587.9107380262355,0.05,567.7450394281219,-20.1656985981136,0,0,503.23682923172976,0.05,11.146645454545455,587.9107380262355,0.05,503.23682923172976,-84.67390879450579,0,0,623.2723096774283,0.05,11.146645454545455,587.9107380262355,0.05,623.2723096774283,35.361571651192776,0,0
3,561.7746571107605,0.05,11.036809090909092,582.1176070012202,0.05,561.7746571107605,-20.342949890459753,0,0,496.8292802372909,0.05,11.036809090909092,582.1176070012202,0.05,496.8292802372909,-85.28832676392932,0,0,617.1307342295171,0.05,11.036809090909092,582.1176070012202,0.05,617.1307342295171,35.01312722829687,0,0
4,1411.4498485674596,0.05,27.751772727272726,1463.7197578553996,0.05,1411.4498485674596,-52.26990928794003,0,0,1244.9193000507898,0.05,27.751772727272726,1463.7197578553996,0.05,1244.9193000507898,-218.80045780460978,0,0,1551.759366161313,0.05,27.751772727272726,1463.7197578553996,0.05,1551.759366161313,88.03960830591336,0,0
5,4800.1077894498,0.05,94.48343636363637,4983.367151159244,0.05,4800.1077894498,-183.2593617094431,0,0,4217.457406747435,0.05,94.48343636363637,4983.367151159244,0.05,4217.457406747435,-765.9097444118088,0,0,5283.106011469113,0.05,94.48343636363637,4983.367151159244,0.05,5283.106011469113,299.73886030986887,0,0
6,4926.8130011485455,0.05,97.14877272727273,5123.945756177548,0.05,4926.8130011485455,-197.13275502900228,0,0,4301.266016387953,0.05,97.14877272727273,5123.945756177548,0.05,4301.266016387953,-822.6797397895953,0,0,5432.140118475131,0.05,97.14877272727273,5123.945756177548,0.05,5432.140118475131,308.1943622975832,0,0
7,6336.558608599552,0.05,250.70868636363636,13223.200597048504,0.05,12673.117217199104,-6886.641988448952,0,0,5464.944402528979,0.05,250.70868636363636,13223.200597048504,0.05,10929.888805057957,-7758.256194519526,0,0,7009.2738951491865,0.05,250.70868636363636,13223.200597048504,0.05,14018.547790298373,-6213.926701899318,0,0
8,17863.848735558255,0.05,712.0176590909091,37554.15287503813,0.05,35727.69747111651,-19690.30413947988,2843,0,14967.876205519105,0.05,712.0176590909091,37554.15287503813,0.05,29935.75241103821,-22586.27666951903,2843,0,19906.4773667731,0.05,712.0176590909091,37554.15287503813,0.05,39812.9547335462,-17647.675508265034,2843,0
9,16499.62740593015,0.12,596.8184363636364,31478.16702532032,0.12,32999.2548118603,-14978.539619390169,10667,0,15227.128841895503,0.12,596.8184363636364,31478.16702532032,0.12,30454.257683791006,-16251.038183424816,10667,0,21143.69817216647,0.12,596.8184363636364,31478.16702532032,0.12,42287.39634433294,-10334.468853153849,10667,0
10,19699.199662312967,0.12,707.3702545454546,37309.033475899945,0.12,39398.399324625934,-17609.833813586978,24759,0,18047.73001068158,0.12,707.3702545454546,37309.033475899945,0.12,36095.46002136316,-19261.303465218367,24759,0,25300.898005294064,0.12,707.3702545454546,37309.033475899945,0.12,50601.79601058813,-12008.135470605881,24759,0
11,17388.994874767886,0.12,618.6500545454545,32629.63836348383,0.12,34777.98974953577,-15240.643488715945,7233,0,15784.137209309716,0.12,618.6500545454545,32629.63836348383,0.12,31568.274418619432,-16845.501154174115,7233,0,22323.002313745637,0.12,618.6500545454545,32629.63836348383,0.12,44646.004627491275,-10306.636049738194,7233,0
12,17726.756981805833,0.12,276.8094,14599.838068791945,0.06999999999999999,17726.756981805833,3126.9189130138875,29088,1,17033.144413590602,0.12,276.8094,14599.838068791945,0.06999999999999999,17033.144413590602,2433.306344798657,29088,1,20129.34580250405,0.12,276.8094,14599.838068791945,0.06999999999999999,20129.34580250405,5529.507733712104,29088,1
13,22994.1419357125,0.29,376.3461,19849.73096224832,0.24,22994.1419357125,3144.410973464182,30410,1,21047.559554797786,0.29,376.3461,19849.73096224832,0.24,21047.559554797786,1197.8285925494674,30410,1,28789.80035286614,0.29,376.3461,19849.73096224832,0.24,28789.80035286614,8940.06939061782,30410,1
14,23568.480741544718,0.29,388.00785454545456,20464.81024771202,0.24,23568.480741544718,3103.670493832699,21709,1,21699.75569369464,0.29,388.00785454545456,20464.81024771202,0.24,21699.75569369464,1234.9454459826193,21709,1,29204.11596067193,0.29,388.00785454545456,20464.81024771202,0.24,29204.11596067193,8739.305712959911,21709,1
15,11040.173864099366,0.29,181.1503181818182,9554.463510143381,0.24,11040.173864099366,1485.710353955984,21660,1,10131.025963341688,0.29,181.1503181818182,9554.463510143381,0.24,10131.025963341688,576.5624531983067,21660,1,13867.25206570665,0.29,181.1503181818182,9554.463510143381,0.24,13867.25206570665,4312.788555563269,21660,1
16,10609.303893531083,0.29,180.03888636363635,9495.842941008237,0.29,10609.303893531083,1113.4609525228468,39583,0,9186.965925228613,0.29,180.03888636363635,9495.842941008237,0.29,9186.965925228613,-308.87701577962434,39583,0,14473.043089340832,0.29,180.03888636363635,9495.842941008237,0.29,14473.043089340832,4977.200148332595,39583,0
17,9444.295458931298,0.29,158.43778636363638,8356.529889833742,0.29,9444.295458931298,1087.7655690975546,23362,0,8084.711997448611,0.29,158.43778636363638,8356.529889833742,0.29,8084.711997448611,-271.817892385131,23362,0,13272.172986449146,0.29,158.43778636363638,8356.529889833742,0.29,13272.172986449146,4915.643096615404,23362,0
18,3732.5706564098277,0.29,61.98425454545455,3269.2534255643686,0.29,3732.5706564098277,463.3172308454593,21054,0,3162.91244581261,0.29,61.98425454545455,3269.2534255643686,0.29,3162.91244581261,-106.34097975175882,21054,0,5377.655319350009,0.29,61.98425454545455,3269.2534255643686,0.29,5377.655319350009,2108.401893785641,21054,0
19,3082.2727000216446,0.12,58.10758181818182,3064.7849571384995,0.12,3082.2727000216446,17.487742883145266,7609,0,2807.5270728324263,0.12,58.10758181818182,3064.7849571384995,0.12,2807.5270728324263,-257.25788430607327,7609,0,3562.788910050735,0.12,58.10758181818182,3064.7849571384995,0.12,3562.788910050735,498.0039529122355,7609,0
20,3113.3841286876213,0.12,58.90638181818182,3106.9162960646736,0.12,3113.3841286876213,6.4678326229479755,1959,0,2836.343837945359,0.12,58.90638181818182,3106.9162960646736,0.12,2836.343837945359,-270.57245811931443,1959,0,3530.5626655858455,0.12,58.90638181818182,3106.9162960646736,0.12,3530.5626655858455,423.6463695211719,1959,0
21,1448.8571368608318,0.12,26.912804545454545,1419.4698169234289,0.12,1448.8571368608318,29.387319937402886,319,0,1358.7135821467582,0.12,26.912804545454545,1419.4698169234289,0.12,1358.7135821467582,-60.75623477667068,319,0,1761.6271693311976,0.12,26.912804545454545,1419.4698169234289,0.12,1761.6271693311976,342.1573524077687,319,0
22,1514.67383132032,0.12,28.233568181818182,1489.1312345561316,0.12,1514.67383132032,25.54259676418838,0,0,1412.4605406811959,0.12,28.233568181818182,1489.1312345561316,0.12,1412.4605406811959,-76.67069387493575,0,0,1818.7351522333752,0.12,28.233568181818182,1489.1312345561316,0.12,1818.7351522333752,329.60391767724354,0,0
23,1377.9946819596819,0.12,25.822054545454545,1361.9400748932276,0.12,1377.9946819596819,16.054607066454384,0,0,1269.8407215390312,0.12,25.822054545454545,1361.9400748932276,0.12,1269.8407215390312,-92.09935335419641,0,0,1627.1589594550308,0.12,25.822054545454545,1361.9400748932276,0.12,1627.1589594550308,265.2188845618032,0,0
24,630.2274699211191,0.05,12.353372727272728,651.5575028218426,0.05,630.2274699211191,-21.33003290072348,0,0,561.731846991702,0.05,12.353372727272728,651.5575028218426,0.05,561.731846991702,-89.82565583014059,0,0,690.7472910510187,0.05,12.353372727272728,651.5575028218426,0.05,690.7472910510187,39.18978822917609,0,0
