Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,431.61855635854266,0.05,12.71575,670.6704718959732,0.13,431.61855635854266,-239.0519155374305,0,1,333.96170282154367,0.05,12.71575,670.6704718959732,0.13,333.96170282154367,-336.7087690744295,0,1,526.2325954829066,0.05,12.71575,670.6704718959732,0.13,526.2325954829066,-144.43787641306653,0,1
2,378.3574715869234,0.05,11.146645454545455,587.9107380262355,0.13,378.3574715869234,-209.55326643931218,0,1,292.7513278216401,0.05,11.146645454545455,587.9107380262355,0.13,292.7513278216401,-295.1594102045955,0,1,461.29627969039956,0.05,11.146645454545455,587.9107380262355,0.13,461.29627969039956,-126.61445833583599,0,1
3,374.6292280536359,0.05,11.036809090909092,582.1176070012202,0.13,374.6292280536359,-207.48837894758427,0,1,289.86662664147167,0.05,11.036809090909092,582.1176070012202,0.13,289.86662664147167,-292.25098035974855,0,1,456.7507770881332,0.05,11.036809090909092,582.1176070012202,0.13,456.7507770881332,-125.36682991308703,0,1
4,941.9955630565111,0.05,27.751772727272726,1463.7197578553996,0.13,941.9955630565111,-521.7241947988886,0,1,728.862180863612,0.05,27.751772727272726,1463.7197578553996,0.13,728.862180863612,-734.8575769917876,0,1,1148.4880869413498,0.05,27.751772727272726,1463.7197578553996,0.13,1148.4880869413498,-315.2316709140498,0,1
5,3207.1096398613504,0.05,94.48343636363637,4983.367151159244,0.13,3207.1096398613504,-1776.2575112978936,0,1,2481.4776396540483,0.05,94.48343636363637,4983.367151159244,0.13,2481.4776396540483,-2501.8895115051955,0,1,3910.1322334726938,0.05,94.48343636363637,4983.367151159244,0.13,3910.1322334726938,-1073.23491768655,0,1
6,3297.580798344543,0.05,97.14877272727273,5123.945756177548,0.13,3297.580798344543,-1826.364957833005,0,1,2551.4790371801228,0.05,97.14877272727273,5123.945756177548,0.13,2551.4790371801228,-2572.4667189974252,0,1,4020.4353514540426,0.05,97.14877272727273,5123.945756177548,0.13,4020.4353514540426,-1103.5104047235054,0,1
7,4254.979897954087,0.05,250.70868636363636,13223.200597048504,0.13,8509.959795908175,-8968.220699094418,0,1,3292.2595918507486,0.05,250.70868636363636,13223.200597048504,0.13,6584.519183701497,-9930.941005197756,0,1,5187.7035462024005,0.05,250.70868636363636,13223.200597048504,0.13,10375.407092404801,-8035.497050846104,0,1
8,12084.227596429906,0.05,712.0176590909091,37554.15287503813,0.13,24168.455192859812,-25469.925278608225,15844.13384,1,9350.082766215495,0.05,712.0176590909091,37554.15287503813,0.13,18700.16553243099,-28204.070108822638,15844.13384,1,14733.181321316966,0.05,712.0176590909091,37554.15287503813,0.13,29466.362642633932,-22820.971553721167,15844.13384,1
9,16581.983600690906,0.12,596.8184363636364,31478.16702532032,0.13,33163.96720138181,-14896.183424629413,34305.6488,1,15100.470199133973,0.12,596.8184363636364,31478.16702532032,0.13,30200.940398267947,-16377.696826186346,34305.6488,1,18552.17582809899,0.12,596.8184363636364,31478.16702532032,0.13,37104.35165619798,-12925.99119722133,34305.6488,1
10,19653.55164286938,0.12,707.3702545454546,37309.033475899945,0.13,39307.10328573876,-17655.481833030564,119482.4552,1,17897.609721307654,0.12,707.3702545454546,37309.033475899945,0.13,35795.21944261531,-19411.42375459229,119482.4552,1,21988.6929396037,0.12,707.3702545454546,37309.033475899945,0.13,43977.3858792074,-15320.340536296244,119482.4552,1
11,17188.552554681602,0.12,618.6500545454545,32629.63836348383,0.13,34377.105109363205,-15441.085808802229,193048.615,1,15652.845393442736,0.12,618.6500545454545,32629.63836348383,0.13,31305.690786885472,-16976.792970041097,193048.615,1,19230.814413040818,0.12,618.6500545454545,32629.63836348383,0.13,38461.628826081636,-13398.823950443013,193048.615,1
12,16818.477543858942,0.12,276.8094,14599.838068791945,0.08,16818.477543858942,2218.639475066997,200250.4949,1,16706.108040849664,0.12,276.8094,14599.838068791945,0.08,16706.108040849664,2106.2699720577184,200250.4949,1,16969.39178735688,0.12,276.8094,14599.838068791945,0.08,16969.39178735688,2369.5537185649337,200250.4949,1
13,25805.75712667915,0.29,376.3461,19849.73096224832,0.08,25805.75712667915,5956.026164430828,207610.6119,1,25293.143218230118,0.29,376.3461,19849.73096224832,0.08,25293.143218230118,5443.412255981799,207610.6119,1,26537.3517338831,0.29,376.3461,19849.73096224832,0.08,26537.3517338831,6687.620771634782,207610.6119,1
14,26605.394496299687,0.29,388.00785454545456,20464.81024771202,0.08,26605.394496299687,6140.584248587667,213641.9251,1,26076.896332435444,0.29,388.00785454545456,20464.81024771202,0.08,26076.896332435444,5612.086084723425,213641.9251,1,27359.658866086516,0.29,388.00785454545456,20464.81024771202,0.08,27359.658866086516,6894.848618374497,213641.9251,1
15,12421.335346428861,0.29,181.1503181818182,9554.463510143381,0.08,12421.335346428861,2866.8718362854797,217693.7204,1,12174.593922457769,0.29,181.1503181818182,9554.463510143381,0.08,12174.593922457769,2620.1304123143873,217693.7204,1,12773.480873843915,0.29,181.1503181818182,9554.463510143381,0.08,12773.480873843915,3219.0173637005337,217693.7204,1
16,12536.025587914759,0.29,180.03888636363635,9495.842941008237,0.13,12536.025587914759,3040.1826469065218,196257.2769,1,11479.884718530897,0.29,180.03888636363635,9495.842941008237,0.13,11479.884718530897,1984.0417775226597,196257.2769,1,13519.587833839883,0.29,180.03888636363635,9495.842941008237,0.13,13519.587833839883,4023.744892831646,196257.2769,1
17,7569.316386726476,0.29,158.43778636363638,8356.529889833742,0.42,7569.316386726476,-787.2135031072663,191468.9715,1,6613.6516741415835,0.29,158.43778636363638,8356.529889833742,0.42,6613.6516741415835,-1742.8782156921588,191468.9715,1,8732.887232012221,0.29,158.43778636363638,8356.529889833742,0.42,8732.887232012221,376.3573421784786,191468.9715,1
18,2961.27864708426,0.29,61.98425454545455,3269.2534255643686,0.42,2961.27864708426,-307.9747784801091,183253.2804,1,2587.40214852592,0.29,61.98425454545455,3269.2534255643686,0.42,2587.40214852592,-681.8512770384486,183253.2804,1,3416.4924765070527,0.29,61.98425454545455,3269.2534255643686,0.42,3416.4924765070527,147.23905094268412,183253.2804,1
19,60.00209249937004,0.12,58.10758181818182,3064.7849571384995,0.42,-147.65916791137394,-3004.7828646391295,96967.2459,1,0,0.12,58.10758181818182,3064.7849571384995,0.42,-665.8245319383395,-3064.7849571384995,96967.2459,1,407.0021679548868,0.12,58.10758181818182,3064.7849571384995,0.42,407.0021679548868,-2657.7827891836127,96967.2459,1
20,60.82693617705857,0.12,58.90638181818182,3106.9162960646736,0.42,-149.68902597183617,-3046.089359887615,19349.10479,1,0,0.12,58.90638181818182,3106.9162960646736,0.42,-674.9775653200509,-3106.9162960646736,19349.10479,1,412.5971922458586,0.12,58.90638181818182,3106.9162960646736,0.42,412.5971922458586,-2694.319103818815,19349.10479,1
21,27.79025623208007,0.12,26.912804545454545,1419.4698169234289,0.42,-68.38905012047537,-1391.6795606913488,18716.7518,1,0,0.12,26.912804545454545,1419.4698169234289,0.42,-308.37981772661516,-1419.4698169234289,18716.7518,1,188.50500146469292,0.12,26.912804545454545,1419.4698169234289,0.42,188.50500146469292,-1230.964815458736,18716.7518,1
22,1568.8810400443008,0.12,28.233568181818182,1489.1312345561316,0.13,1568.8810400443008,79.74980548816923,0,1,1428.7097347140166,0.12,28.233568181818182,1489.1312345561316,0.13,1428.7097347140166,-60.421499842115054,0,1,1755.2880046908224,0.12,28.233568181818182,1489.1312345561316,0.13,1755.2880046908224,266.15677013469076,0,1
23,1434.8782105919609,0.12,25.822054545454545,1361.9400748932276,0.13,1434.8782105919609,72.93813569873332,0,1,1306.6793563544347,0.12,25.822054545454545,1361.9400748932276,0.13,1306.6793563544347,-55.260718538792844,0,1,1605.3635979775636,0.12,25.822054545454545,1361.9400748932276,0.13,1605.3635979775636,243.423523084336,0,1
24,419.3181607616104,0.05,12.353372727272728,651.5575028218426,0.13,419.3181607616104,-232.2393420602322,0,1,324.4443616451422,0.05,12.353372727272728,651.5575028218426,0.13,324.4443616451422,-327.1131411767004,0,1,511.2358605068895,0.05,12.353372727272728,651.5575028218426,0.13,511.2358605068895,-140.32164231495312,0,1
