Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,1,12.71575,670.6704718959732,431.61855635854266,0,-239.0519155374305,33.53352359479866,56.11041232661055,-52.23848254056417,0,0,159.73458290778515,0.596619733082523,-56.935349954696306,-0.21265747638719618,102.79923295308885,0.38396225669532685
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,1,11.146645454545455,587.9107380262355,378.3574715869234,0,-209.55326643931218,29.39553690131178,49.18647130630004,-45.7378419426728,0,0,139.58975595329716,0.5216343847070619,-49.754983927805874,-0.18592990760707565,89.83477202549128,0.3357044770999863
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,1,11.036809090909092,582.1176070012202,374.6292280536359,0,-207.48837894758427,29.105880350061014,48.701799646972674,-44.99545118288289,0,0,139.01034467325772,0.5205243251220282,-49.54846018450485,-0.18553424105951932,89.46188448875287,0.33499008406250885
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1,27.751772727272726,1463.7197578553996,941.9955630565111,0,-521.7241947988886,73.18598789276999,122.45942319734644,-104.84333755859673,0,0,358.55860431541714,1.3409326985281838,-127.80363052471328,-0.4779583172697942,230.75497379070384,0.8629743812583895
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1,94.48343636363637,4983.367151159244,3207.1096398613504,0,-1776.2575112978936,249.1683575579622,416.9242531819756,-355.80926488070133,0,0,1221.7256047173557,4.563807503968845,-435.46847268103664,-1.6267108389067015,786.257132036319,2.9370966650621435
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1,97.14877272727273,5123.945756177548,3297.580798344543,0,-1826.364957833005,256.19728780887743,428.68550378479057,-344.74566307310965,0,0,1274.034064484575,4.758080657349202,-454.11315442886513,-1.695957020748855,819.92091005571,3.0621236366003473
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1,250.70868636363636,13223.200597048504,4254.979897954087,0,-8968.220699094418,661.1600298524253,553.1473867340313,-1759.469246120348,0,0,3286.6196191088948,12.28332194501149,-2229.0465823169334,-8.330777508244184,1057.5730367919614,3.9525444367673064
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1,712.0176590909091,37554.15287503813,12084.227596429906,15844.13384,-25469.925278608225,1877.7076437519067,1570.9495875358878,-7005.771477303404,-7005.771477303404,0,8424.938876483784,31.271493315655754,-5713.950315292943,-21.208908659198183,2710.988561190841,10.06258465645757
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1,596.8184363636364,31478.16702532032,16581.983600690906,34305.6488,-14896.183424629413,3777.380043038438,2155.657868089818,-5547.005003030915,-5547.005003030915,0,6065.27913772047,22.268788567724506,-2870.2278148656865,-10.538096417186132,3195.051322854784,11.730692150538374
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1,707.3702545454546,37309.033475899945,19653.55164286938,119482.4552,-17655.481833030564,4477.0840171079935,2554.9617135730196,-7297.850283341065,-7297.850283341065,0,6720.569099507213,24.493753567263074,-3180.32590473356,-11.591000378202896,3540.2431947736527,12.902753189060178
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,1,618.6500545454545,32629.63836348383,17188.552554681602,193048.615,-15441.085808802229,3915.5566036180594,2234.5118321086084,-6781.345654158475,-6781.345654158475,0,5589.803252127817,20.102859158635482,-2645.2218289682532,-9.513129438116584,2944.581423159564,10.589729720518898
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,276.8094,14599.838068791945,16818.477543858942,200250.4949,2218.639475066997,1751.9805682550334,1345.4782035087153,1663.9796063002477,1663.9796063002477,0,2472.8383750036523,8.859619735285017,239.22945388607815,0.8029744360951976,2712.0678288897307,9.662594171380215
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,376.3461,19849.73096224832,25805.75712667915,207610.6119,5956.026164430828,5756.421979052012,2064.460570134332,4467.019623323122,4467.019623323122,0,3390.840355439667,12.097120788977804,642.2210109666208,2.155616901483134,4033.0613664062876,14.252737690460938
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,388.00785454545456,20464.81024771202,26605.394496299687,213641.9251,6140.584248587667,5934.794971836485,2128.431559703975,4605.4381864407505,4605.4381864407505,0,3623.473107502773,12.977268263140633,662.1213734091345,2.2224125324173456,4285.594480911907,15.19968079555798
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,181.1503181818182,9554.463510143381,12421.335346428861,217693.7204,2866.8718362854797,2770.7944179415804,993.7068277143089,2150.15387721411,2150.15387721411,0,1742.5214905558075,6.204028454431932,309.1264675777225,1.0375839887321134,2051.64795813353,7.241612443164046
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,1,180.03888636363635,9495.842941008237,12536.025587914759,196257.2769,3040.1826469065218,2753.7944528923886,1629.6833264289187,1213.2315976544173,1213.2315976544173,0,1778.1472225383538,6.3355219559683444,569.2904108871195,2.028376420006915,2347.4376334254735,8.36389837597526
