Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,648.3414123320952,0.05,12.71575,670.6704718959732,0.05,648.3414123320952,-22.329059563877944,0,0,575.8285304947426,0.05,12.71575,670.6704718959732,0.05,575.8285304947426,-94.84194140123054,0,0,710.2206240825309,0.05,12.71575,670.6704718959732,0.05,710.2206240825309,39.55015218655774,0,0
2,567.9529868573743,0.05,11.146645454545455,587.9107380262355,0.05,567.9529868573743,-19.95775116886129,0,0,503.23682923172976,0.05,11.146645454545455,587.9107380262355,0.05,503.23682923172976,-84.67390879450579,0,0,622.5804605433402,0.05,11.146645454545455,587.9107380262355,0.05,622.5804605433402,34.669722517104674,0,0
3,561.9910200700301,0.05,11.036809090909092,582.1176070012202,0.05,561.9910200700301,-20.126586931190086,0,0,496.8292802372909,0.05,11.036809090909092,582.1176070012202,0.05,496.8292802372909,-85.28832676392932,0,0,616.4457024104127,0.05,11.036809090909092,582.1176070012202,0.05,616.4457024104127,34.32809540919243,0,0
4,1412.0247637769914,0.05,27.751772727272726,1463.7197578553996,0.05,1412.0247637769914,-51.69499407840807,0,0,1244.9193000507898,0.05,27.751772727272726,1463.7197578553996,0.05,1244.9193000507898,-218.80045780460978,0,0,1550.0368712628194,0.05,27.751772727272726,1463.7197578553996,0.05,1550.0368712628194,86.31711340741981,0,0
5,4802.209001236898,0.05,94.48343636363637,4983.367151159244,0.05,4802.209001236898,-181.15814992234561,0,0,4217.457406747435,0.05,94.48343636363637,4983.367151159244,0.05,4217.457406747435,-765.9097444118088,0,0,5277.241620796564,0.05,94.48343636363637,4983.367151159244,0.05,5277.241620796564,293.87446963732054,0,0
6,4929.204866331956,0.05,97.14877272727273,5123.945756177548,0.05,4929.204866331956,-194.74088984559216,0,0,4301.266016387953,0.05,97.14877272727273,5123.945756177548,0.05,4301.266016387953,-822.6797397895953,0,0,5426.110295909844,0.05,97.14877272727273,5123.945756177548,0.05,5426.110295909844,302.16453973229636,0,0
7,6340.183824538368,0.05,250.70868636363636,13223.200597048504,0.05,12680.367649076736,-6883.016772510136,0,0,5464.944402528979,0.05,250.70868636363636,13223.200597048504,0.05,10929.888805057957,-7758.256194519526,0,0,7001.493411402917,0.05,250.70868636363636,13223.200597048504,0.05,14002.986822805835,-6221.707185645587,0,0
8,17877.529175316162,0.05,712.0176590909091,37554.15287503813,0.05,35755.058350632324,-19676.62369972197,2843,0,14967.876205519105,0.05,712.0176590909091,37554.15287503813,0.05,29935.75241103821,-22586.27666951903,2843,0,19884.380638079867,0.05,712.0176590909091,37554.15287503813,0.05,39768.761276159734,-17669.772236958266,2843,0
9,16491.899023813432,0.12,596.8184363636364,31478.16702532032,0.12,32983.798047626864,-14986.268001506885,10667,0,15227.128841895503,0.12,596.8184363636364,31478.16702532032,0.12,30454.257683791006,-16251.038183424816,10667,0,21143.69817216647,0.12,596.8184363636364,31478.16702532032,0.12,42287.39634433294,-10334.468853153849,10667,0
10,19681.958870446746,0.12,707.3702545454546,37309.033475899945,0.12,39363.91774089349,-17627.0746054532,24759,0,18047.73001068158,0.12,707.3702545454546,37309.033475899945,0.12,36095.46002136316,-19261.303465218367,24759,0,25300.898005294064,0.12,707.3702545454546,37309.033475899945,0.12,50601.79601058813,-12008.135470605881,24759,0
11,17364.070788603087,0.12,618.6500545454545,32629.63836348383,0.12,34728.141577206174,-15265.567574880744,7233,0,15784.137209309716,0.12,618.6500545454545,32629.63836348383,0.12,31568.274418619432,-16845.501154174115,7233,0,22323.002313745637,0.12,618.6500545454545,32629.63836348383,0.12,44646.004627491275,-10306.636049738194,7233,0
12,17721.501565869843,0.12,276.8094,14599.838068791945,0.06999999999999999,17721.501565869843,3121.6634970778982,29088,1,17033.144413590602,0.12,276.8094,14599.838068791945,0.06999999999999999,17033.144413590602,2433.306344798657,29088,1,20129.34580250405,0.12,276.8094,14599.838068791945,0.06999999999999999,20129.34580250405,5529.507733712104,29088,1
13,22941.38011039397,0.29,376.3461,19849.73096224832,0.24,22941.38011039397,3091.649148145651,30410,1,21047.559554797786,0.29,376.3461,19849.73096224832,0.24,21047.559554797786,1197.8285925494674,30410,1,28789.80035286614,0.29,376.3461,19849.73096224832,0.24,28789.80035286614,8940.06939061782,30410,1
14,23519.85187439088,0.29,388.00785454545456,20464.81024771202,0.24,23519.85187439088,3055.041626678861,21709,1,21699.75569369464,0.29,388.00785454545456,20464.81024771202,0.24,21699.75569369464,1234.9454459826193,21709,1,29204.11596067193,0.29,388.00785454545456,20464.81024771202,0.24,29204.11596067193,8739.305712959911,21709,1
15,11017.592501232177,0.29,181.1503181818182,9554.463510143381,0.24,11017.592501232177,1463.128991088796,21660,1,10131.025963341688,0.29,181.1503181818182,9554.463510143381,0.24,10131.025963341688,576.5624531983067,21660,1,13867.25206570665,0.29,181.1503181818182,9554.463510143381,0.24,13867.25206570665,4312.788555563269,21660,1
16,10574.271859464181,0.29,180.03888636363635,9495.842941008237,0.29,10574.271859464181,1078.428918455944,39583,0,9186.965925228613,0.29,180.03888636363635,9495.842941008237,0.29,9186.965925228613,-308.87701577962434,39583,0,14473.043089340832,0.29,180.03888636363635,9495.842941008237,0.29,14473.043089340832,4977.200148332595,39583,0
17,9411.503468307785,0.29,158.43778636363638,8356.529889833742,0.29,9411.503468307785,1054.973578474042,23362,0,8084.711997448611,0.29,158.43778636363638,8356.529889833742,0.29,8084.711997448611,-271.817892385131,23362,0,13272.172986449146,0.29,158.43778636363638,8356.529889833742,0.29,13272.172986449146,4915.643096615404,23362,0
18,3719.0211806191164,0.29,61.98425454545455,3269.2534255643686,0.29,3719.0211806191164,449.76775505474797,21054,0,3162.91244581261,0.29,61.98425454545455,3269.2534255643686,0.29,3162.91244581261,-106.34097975175882,21054,0,5377.655319350009,0.29,61.98425454545455,3269.2534255643686,0.29,5377.655319350009,2108.401893785641,21054,0
19,3084.5637963950685,0.12,58.10758181818182,3064.7849571384995,0.12,3084.5637963950685,19.77883925656885,7609,0,2807.5270728324263,0.12,58.10758181818182,3064.7849571384995,0.12,2807.5270728324263,-257.25788430607327,7609,0,3562.788910050735,0.12,58.10758181818182,3064.7849571384995,0.12,3562.788910050735,498.0039529122355,7609,0
