Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,12.71575,670.6704718959732,648.3414123320952,0,-22.329059563877944,33.53352359479866,32.41707061660476,-4.879426234893383,0,0,159.73458290778515,0.596619733082523,-5.318145297311322,-0.019863641110251486,154.41643761047382,0.5767560919722715
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,11.146645454545455,587.9107380262355,567.9529868573743,0,-19.95775116886129,29.39553690131178,28.397649342868718,-4.356049819709826,0,0,139.58975595329716,0.5216343847070619,-4.73864046843393,-0.017707873964093217,134.85111548486321,0.5039265107429687
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,11.036809090909092,582.1176070012202,561.9910200700301,0,-20.126586931190086,29.105880350061014,28.099551003501507,-4.364605209861832,0,0,139.01034467325772,0.5205243251220282,-4.806251782717773,-0.017997012894587796,134.20409289053995,0.5025273122274404
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,27.751772727272726,1463.7197578553996,1412.0247637769914,0,-51.69499407840807,73.18598789276999,70.60123818884958,-10.388392503708634,0,0,358.55860431541714,1.3409326985281838,-12.663411030268326,-0.04735845611015265,345.8951932851488,1.2935742424180312
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,94.48343636363637,4983.367151159244,4802.209001236898,0,-181.15814992234561,249.1683575579622,240.11045006184492,-36.28851545512624,0,0,1221.7256047173557,4.563807503968845,-44.41285250513195,-0.1659060829640835,1177.3127522122238,4.397901421004762
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,97.14877272727273,5123.945756177548,4929.204866331956,0,-194.74088984559216,256.19728780887743,246.4602433165978,-36.75939844844784,0,0,1274.034064484575,4.758080657349202,-48.420990232419946,-0.18083580608794733,1225.6130742521552,4.577244851261255
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,250.70868636363636,13223.200597048504,6340.183824538368,0,-6883.016772510136,661.1600298524253,317.0091912269184,-1350.374476509593,0,0,3286.6196191088948,12.28332194501149,-1710.7702327556558,-6.393785706353661,1575.849386353239,5.889536238657829
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,712.0176590909091,37554.15287503813,17877.529175316162,2843,-19676.62369972197,1877.7076437519067,893.8764587658081,-5412.262799252194,-5412.262799252194,0,8424.938876483784,31.271493315655754,-4414.274834459609,-16.384803261253285,4010.6640420241747,14.886690054402468
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,596.8184363636364,31478.16702532032,16491.899023813432,10667,-14986.268001506885,3777.380043038438,1979.0278828576118,-5580.550481385394,-5580.550481385394,0,6065.27913772047,22.268788567724506,-2887.585499775542,-10.601825489914024,3177.6936379449285,11.666963077810482
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,707.3702545454546,37309.033475899945,19681.958870446746,24759,-17627.0746054532,4477.0840171079935,2361.8350644536094,-7286.108225220818,-7286.108225220818,0,6720.569099507213,24.493753567263074,-3175.2088400960524,-11.57235074922608,3545.3602594111603,12.921402818036993
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0,618.6500545454545,32629.63836348383,17364.070788603087,7233,-15265.567574880744,3915.5566036180594,2083.6884946323703,-6704.2623565479835,-6704.2623565479835,0,5589.803252127817,20.102859158635482,-2615.153693249041,-9.404994058343428,2974.649558878776,10.697865100292054
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,276.8094,14599.838068791945,17721.501565869843,29088,3121.6634970778982,1751.9805682550334,1240.505109610889,2341.247622808424,2341.247622808424,0,2472.8383750036523,8.859619735285017,336.59991270077774,1.129798696189427,2809.43828770443,9.989418431474444
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,376.3461,19849.73096224832,22941.38011039397,30410,3091.649148145651,5756.421979052012,5505.931226494553,2318.7368611092384,2318.7368611092384,0,3390.840355439667,12.097120788977804,333.36355258706845,1.1189358429951703,3724.2039080267355,13.216056631972975
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,388.00785454545456,20464.81024771202,23519.85187439088,21709,3055.041626678861,5934.794971836485,5644.764449853811,2291.2812200091457,2291.2812200091457,0,3623.473107502773,12.977268263140633,329.4162698189393,1.1056867756108668,3952.8893773217123,14.0829550387515
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,181.1503181818182,9554.463510143381,11017.592501232177,21660,1463.128991088796,2770.7944179415804,2644.2222002957224,1097.346743316597,1097.346743316597,0,1742.5214905558075,6.204028454431932,157.76495164564375,0.5295385707128393,1900.2864422014513,6.7335670251447715
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,0,180.03888636363635,9495.842941008237,10574.271859464181,39583,1078.428918455944,2753.7944528923886,3066.538839244612,430.3636299701766,430.3636299701766,0,1778.1472225383538,6.3355219559683444,201.94156516386875,0.7195159116757028,1980.0887877022226,7.055037867644048
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,0,158.43778636363638,8356.529889833742,9411.503468307785,23362,1054.973578474042,2423.393668051785,2729.3360058092576,403.7763970701011,403.7763970701011,0,1617.4443155360805,5.758710373391457,465.77696956764834,1.0696208316375755,2083.221285103729,6.828331205029032
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,0,61.98425454545455,3269.2534255643686,3719.0211806191164,21054,449.76775505474797,948.0834934136668,1078.5161423795437,152.3320199670591,152.3320199670591,0,675.7244784317562,2.418891186294246,198.57507925616687,0.4560123305659281,874.2995576879231,2.8749035168601744
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,0,58.10758181818182,3064.7849571384995,3084.5637963950685,7609,19.77883925656885,367.77419485661994,370.1476555674082,4.917109195555563,4.917109195555563,0,714.4176720353863,2.576552454326508,8.732472545725425,0.020053448660807053,723.1501445811117,2.596605902987315
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,0,58.90638181818182,3106.9162960646736,3115.67788358259,1959,8.761587517916103,372.82995552776083,373.8813460299108,1.5935556890636144,1.5935556890636144,0,797.3966571544624,2.8891587467060926,3.8682918377913764,0.008883233399014851,801.2649489922538,2.8980419801051074
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,0,26.912804545454545,1419.4698169234289,1449.5249380779612,319,30.055121154532454,170.33637803081146,173.94299256935534,5.27266731278729,5.27266731278729,0,366.50259991296065,1.3346848847585924,1.0736696724060093,0.030472406456641985,367.5762695853667,1.3651572912152343
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,0,28.233568181818182,1489.1312345561316,1515.4544768550918,0,26.32324229896007,178.69574814673578,181.85453722261101,4.758492811266972,0,0,381.47580693504807,1.3981482943872212,6.743314399778692,0.02471494484097821,388.21912133482675,1.4228632392281995
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,0,25.822054545454545,1361.9400748932276,1378.8653685021868,0,16.92529360895928,163.43280898718731,165.46384422026242,3.176764989497983,0,0,344.0485294815048,1.2655188034110116,4.275608365266487,0.015727033597325787,348.32413784677124,1.2812458370083375
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,0,12.353372727272728,651.5575028218426,630.4301690153073,0,-21.12733380653528,32.57787514109213,31.521508450765367,-4.231674711436099,0,0,161.76244054546498,0.5963516871652508,-5.245291572827369,-0.019337235940441354,156.5171489726376,0.5770144512248094
