Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,12.71575,12.71575,12.765341435750056,0,0.04959143575005564,0.6357875000000001,0.6382670717875029,0.010836898523765065,0,0,3.0285290731045,0.011311765895249999,0.011811265945464276,4.4115896554584744e-5,3.040340339049964,0.011355881791804584
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,11.146645454545455,11.146645454545455,11.190117381241697,0,0.04347192669624218,0.5573322727272728,0.5595058690620849,0.009488337480780857,0,0,2.6465880244366184,0.009890061819163637,0.010321695532761768,3.857124945592141e-5,2.6569097199693803,0.009928633068619557
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,11.036809090909092,11.036809090909092,11.079852655694294,0,0.04304356478520336,0.5518404545454546,0.5539926327847148,0.009334328157815241,0,0,2.6356025266506,0.009869015357809091,0.01027885208210903,3.848916823884578e-5,2.645881378732709,0.009907504526047937
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,27.751772727272726,27.751772727272726,27.860004664370788,0,0.10823193709806271,1.3875886363636365,1.3930002332185394,0.02174980119556681,0,0,6.7981844495622274,0.025423759768499997,0.026512925100563658,9.915268459071752e-5,6.824697374662791,0.025522912453090716
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,94.48343636363637,94.48343636363637,94.85192184533204,0,0.3684854816956732,4.724171818181818,4.742596092266602,0.0738128044652419,0,0,23.163622090394274,0.0865286868893091,0.09033814573535656,3.374619520207511e-4,23.25396023612963,0.08686614884132986
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,97.14877272727273,97.14877272727273,97.52765302303989,0,0.37888029576716264,4.857438636363637,4.876382651151995,0.07151765490757377,0,0,24.15537784103091,0.09021205890822727,0.09420599400128195,3.518271060084999e-4,24.24958383503219,0.09056388601423578
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,250.70868636363636,250.70868636363636,251.68645045240683,0,0.977764088770474,12.535434318181819,12.584322522620342,0.19182688538499618,0,0,62.31351337645622,0.23288881435428183,0.24302275484881106,9.082665728688462e-4,62.55653613130503,0.23379708092715068
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,712.0176590909091,712.0176590909091,714.7945285633124,2843,2.776869472403265,35.600882954545455,35.73972642816562,0.7638072249193656,0.7638072249193656,0,159.73480421136745,0.5928999527956363,0.6229658714661535,0.0023123103171480883,160.3577700828336,0.5952122631127844
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,596.8184363636364,596.8184363636364,599.1460287700123,10667,2.3275924063760205,71.61821236363636,71.89752345240147,0.8667432694093423,0.8667432694093423,0,114.99622605635119,0.42221084734734543,0.44848537883903056,0.0016466226615970264,115.44471143519021,0.42385747000894247
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,707.3702545454546,707.3702545454547,710.1289991362017,24759,2.7587445907470185,84.88443054545456,85.2154798963442,1.1403203369722448,1.1403203369722448,0,127.42036530320658,0.4643956458116365,0.49693953240529143,0.0018111434112713252,127.91730483561187,0.4662067892229078
