Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,12.270122528741823,0.05,12.71575,12.71575,0.05,12.270122528741823,-0.44562747125817803,0,0,10.91756972084831,0.05,12.71575,12.71575,0.05,10.91756972084831,-1.7981802791516905,0,0,13.47113809518785,0.05,12.71575,12.71575,0.05,13.47113809518785,0.7553880951878504,0,0
2,10.74830764120093,0.05,11.146645454545455,11.146645454545455,0.05,10.74830764120093,-0.39833781334452545,0,0,9.541248615304944,0.05,11.146645454545455,11.146645454545455,0.05,9.541248615304944,-1.6053968392405107,0,0,11.808819787765549,0.05,11.146645454545455,11.146645454545455,0.05,11.808819787765549,0.6621743332200936,0,0
3,10.635069698701127,0.05,11.036809090909092,11.036809090909092,0.05,10.635069698701127,-0.4017393922079653,0,0,9.419763035515363,0.05,11.036809090909092,11.036809090909092,0.05,9.419763035515363,-1.617046055393729,0,0,11.692458517496888,0.05,11.036809090909092,11.036809090909092,0.05,11.692458517496888,0.6556494265877966,0,0
4,26.71981199050635,0.05,27.751772727272726,27.751772727272726,0.05,26.71981199050635,-1.0319607367663757,0,0,23.60336894640594,0.05,27.751772727272726,27.751772727272726,0.05,23.60336894640594,-4.148403780866786,0,0,29.40038635513901,0.05,27.751772727272726,27.751772727272726,0.05,29.40038635513901,1.6486136278662826,0,0
5,90.86658995031053,0.05,94.48343636363637,94.48343636363637,0.05,90.86658995031053,-3.6168464133258462,0,0,79.961972782614,0.05,94.48343636363637,94.48343636363637,0.05,79.961972782614,-14.521463581022374,0,0,100.09629152526897,0.05,94.48343636363637,94.48343636363637,0.05,100.09629152526897,5.612855161632595,0,0
6,93.2599186487079,0.05,97.14877272727273,97.14877272727273,0.05,93.2599186487079,-3.888854078564834,0,0,81.55096375909717,0.05,97.14877272727273,97.14877272727273,0.05,81.55096375909717,-15.597808968175556,0,0,102.91996407503373,0.05,97.14877272727273,97.14877272727273,0.05,102.91996407503373,5.771191347761004,0,0
7,119.93230794452022,0.05,250.70868636363636,250.70868636363636,0.05,239.86461588904044,-130.77637841911613,0,0,103.61402461928651,0.05,250.70868636363636,250.70868636363636,0.05,207.22804923857302,-147.09466174434985,0,0,132.80110633142695,0.05,250.70868636363636,250.70868636363636,0.05,265.6022126628539,-117.90758003220941,0,0
8,338.0260433109009,0.05,712.0176590909091,712.0176590909091,0.05,676.0520866218018,-373.9916157800082,2843,0,283.78731409223434,0.05,712.0176590909091,712.0176590909091,0.05,567.5746281844687,-428.23034499867475,2843,0,377.1577851021773,0.05,712.0176590909091,712.0176590909091,0.05,754.3155702043546,-334.8598739887318,2843,0
9,313.83067790106287,0.12,596.8184363636364,596.8184363636364,0.12,627.6613558021257,-282.9877584625735,10667,0,288.70268139875037,0.12,596.8184363636364,596.8184363636364,0.12,577.4053627975007,-308.115754964886,10667,0,400.87940545924016,0.12,596.8184363636364,596.8184363636364,0.12,801.7588109184803,-195.9390309043962,10667,0
10,374.6336826481223,0.12,707.3702545454546,707.3702545454547,0.12,749.2673652962446,-332.7365718973324,24759,0,342.1805976257745,0.12,707.3702545454546,707.3702545454547,0.12,684.361195251549,-365.1896569196802,24759,0,479.6989092144191,0.12,707.3702545454546,707.3702545454547,0.12,959.3978184288381,-227.67134533103564,24759,0
11,330.6139338466338,0.12,618.6500545454545,618.6500545454545,0.12,661.2278676932676,-288.0361206988207,7233,0,299.2634253777188,0.12,618.6500545454545,618.6500545454545,0.12,598.5268507554376,-319.3866291677357,7233,0,423.23872686471765,0.12,618.6500545454545,618.6500545454545,0.12,846.4774537294353,-195.41132768073686,7233,0
