Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Xf
1,0.05,SOP,0,16.33291,16.33291,0.05,0,0,0,16.33291,0,16.33291,0,3933.6,16.33291
2,0.05,SOP,0,13.78023,13.78023,0.05,0,0,0,13.78023,0,13.78023,0,3933.6,13.78023
3,0.05,SOP,0,12.72982333,12.72982333,0.05,0,0,0,12.72982333,0,12.72982333,0,3933.6,12.72982333
4,0.05,SOP,0,13.48510333,13.48510333,0.05,0,0,0,13.48510333,0,13.48510333,0,3933.6,13.48510333
5,0.05,SOP,0,35.08268333,35.08268333,0.05,0,0,0,35.08268333,0,35.08268333,0,3933.6,35.08268333
6,0.05,SOP,0,50.13756333,50.13756333,0.05,0,0,0,50.13756333,0,50.13756333,0,3933.6,50.13756333
7,0.05,SOP,0,121.3361,121.3361,0.05,0,0,0,121.3361,0,121.3361,0,3933.6,121.3361
8,0.05,SOP,0,352.6332633,352.6332633,0.05,0,0,0,352.6332633,0,352.6332633,0,3933.6,352.6332633
9,0.12,OP,0,396.2216067,396.2216067,0.12,0,0,0,396.2216067,0,396.2216067,0,3933.6,396.2216067
10,0.12,OP,0,654.2672267,654.2672267,0.12,0,0,0,654.2672267,0,654.2672267,0,3933.6,654.2672267
11,0.12,OP,0,696.8729033,696.8729033,0.12,0,0,0,696.8729033,0,696.8729033,0,3933.6,696.8729033
12,0.12,OP,1,308.00244,308.00244,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.16666666666666669,359.33618,0,359.33618,51.333740000000034,3933.6,359.33618
13,0.29,P,0,351.03501,351.03501,0.29,0,0,0,351.03501,0,351.03501,0,3933.6,351.03501
14,0.29,P,0,429.9117,429.9117,0.29,0,0,0,429.9117,0,429.9117,0,3933.6,429.9117
15,0.29,P,0,222.47463,222.47463,0.29,0,0,0,222.47463,0,222.47463,0,3933.6,222.47463
16,0.29,P,0,233.7732433,233.7732433,0.29,0,0,0,233.7732433,0,233.7732433,0,3933.6,233.7732433
17,0.29,P,0,209.0073567,209.00735669999997,0.29,0,0,0,209.00735669999997,0,209.00735669999997,0,3933.6,209.00735669999997
18,0.29,P,0,91.09080667,91.09080667,0.29,0,0,0,91.09080667,0,91.09080667,0,3933.6,91.09080667
19,0.12,OP,0,92.68587,92.68587,0.12,0,0,0,92.68587,0,92.68587,0,3933.6,92.68587
20,0.12,OP,0,82.41833333,82.41833333,0.12,0,0,0,82.41833333,0,82.41833333,0,3933.6,82.41833333
21,0.12,OP,0,35.38888333,35.38888333,0.12,0,0,0,35.38888333,0,35.38888333,0,3933.6,35.38888333
22,0.12,OP,0,36.20224667,36.20224667,0.12,0,0,0,36.20224667,0,36.20224667,0,3933.6,36.20224667
23,0.12,OP,0,34.21442333,34.21442333,0.12,0,0,0,34.21442333,0,34.21442333,0,3933.6,34.21442333
24,0.05,SOP,0,15.19253,15.19253,0.05,0,0,0,15.19253,0,15.19253,0,3933.6,15.19253
