Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6/1/2017,40,0.44,0.44,0.44,0.44,0.85,0.03,6.44,1.25,2.43,6.84,8.45,2.83,0.84,0.85,0.03,0.84,0.45,0.43,0.44,0.45,0.43,0.44,0.85,0.43
6/2/2017,40,0.44,0.44,0.44,0.44,0.85,1.23,16.04,12.45,1.63,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.03,0.84,0.45,0.43
6/3/2017,40,0.44,0.44,0.44,0.84,0.45,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43
6/4/2017,40,0.44,0.44,0.84,0.44,0.46,0.43,0.44,0.85,0.03,0.44,0.84,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.45,1.93
6/5/2017,40,3.76,4.19,3.61,0.52,0.45,1.63,12.04,11.25,4.83,4.04,1.65,0.43,0.44,0.85,0.03,0.84,1.68,2.96,3.79,4.65,2.97,2.43,0.05,0.03
6/6/2017,40,0.44,0.44,0.44,0.44,0.85,2.03,15.64,12.05,2.43,0.84,0.45,0.43,0.44,0.85,0.43,0.44,1.78,2.96,3.81,5.06,2.97,2.9,0.44,0.43
6/7/2017,40,0.44,0.84,0.44,0.44,0.45,2.03,16.04,12.46,2.43,0.44,0.85,0.43,1.18,4.64,2.92,3.78,5.01,2.12,0.44,0.45,0.43,0.44,0.85,0.43
6/8/2017,40,0.44,0.44,0.44,0.44,0.85,2.03,16.04,11.65,2.43,0.84,0.85,0.03,0.84,0.45,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43
6/9/2017,40,0.44,0.84,0.44,0.44,0.45,2.83,15.64,11.65,2.83,2.04,2.05,0.83,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.43
6/10/2017,40,0.44,0.44,0.44,0.45,0.85,0.03,0.84,0.45,0.43,0.44,0.85,0.03,0.84,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.43
6/11/2017,40,0.44,0.44,0.44,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.43
6/12/2017,40,0.44,0.44,0.45,0.44,0.85,0.83,3.64,14.45,5.23,4.84,4.85,1.23,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43,0.44,0.85,0.03
6/13/2017,40,0.84,0.44,0.44,0.44,0.45,2.03,12.44,13.25,2.83,4.04,4.45,0.83,0.44,0.85,0.03,0.84,0.45,0.43,0.44,0.85,0.03,0.84,0.45,0.43
6/14/2017,40,0.44,0.44,0.44,0.44,0.85,2.03,6.84,7.25,2.83,4.04,4.05,2.03,0.84,0.45,0.43,0.44,0.85,0.03,0.84,0.45,0.43,0.44,0.85,0.03
6/15/2017,40,0.84,0.44,0.44,0.44,0.85,0.83,13.24,13.25,2.83,4.04,3.25,0.43,0.44,2.05,2.83,0.44,0.45,0.43,0.44,0.85,0.43,0.44,0.45,0.43
6/16/2017,40,0.44,0.44,0.84,0.44,0.45,6.24,19.67,17.82,4.83,4.04,2.05,3.54,5.89,0.45,0.43,0.44,1.28,0.43,0.44,0.85,0.43,0.44,0.45,0.43
6/17/2017,40,0.44,0.44,0.84,0.44,0.45,1.32,3.77,5.04,2.09,0.85,0.45,0.5,0.62,0.85,0.03,0.84,0.45,0.43,0.44,0.45,0.43,0.44,0.85,0.43
6/18/2017,40,0.44,0.44,0.44,0.84,0.45,0.43,0.44,0.45,0.43,0.84,0.45,0.43,0.44,2.1,2.57,4.19,4.68,2.99,3.25,0.87,0.03,0.91,0.45,0.43
6/19/2017,40,0.44,0.44,0.44,0.44,0.85,0.83,9.24,6.05,2.83,4.04,4.45,2.03,0.44,1.65,2.03,0.44,2.11,2.58,4.22,3.09,0.43,0.43,0.85,0.03
6/20/2017,40,0.84,0.44,0.44,0.44,0.85,1.63,12.44,15.25,5.23,3.64,4.11,0.62,0.67,1.95,2.61,0.68,1.76,3.15,4.07,4.97,3.15,3.97,1.4,0.6
6/21/2017,40,0.68,0.68,0.68,0.78,1.27,1.81,13.08,12.34,3.01,3.88,2.75,0.62,0.68,1.15,0.61,0.68,2.04,3.18,4.07,5.38,2.77,3.61,0.74,0.62
6/22/2017,40,0.68,0.72,0.78,0.79,1.27,2.62,12.27,9.15,3.01,3.94,4.09,0.68,4.15,7.89,3.56,4.32,0.91,0.71,0.81,1.3,0.71,0.8,0.91,0.7
6/23/2017,40,0.81,1.2,0.81,0.8,0.91,1.11,6.15,13.58,12.59,11.92,3.7,4.23,13.96,15.16,5.07,1.81,0.9,0.7,0.81,0.92,0.71,0.81,1.33,0.75
6/24/2017,40,0.82,0.82,0.8,0.81,1.36,0.31,1.22,0.91,0.7,0.79,0.9,0.7,0.81,1.31,0.7,0.81,0.9,0.7,0.81,0.9,0.71,0.81,1.31,0.7
6/25/2017,40,0.86,0.88,0.88,0.89,1.5,0.7,0.8,0.91,0.7,0.81,0.9,0.7,1.4,5.29,3.09,3.73,6.85,5.73,5.3,4.88,0.85,0.8,0.91,0.7
6/26/2017,40,0.81,0.8,1.21,0.81,0.91,2.31,7.21,8.26,6.16,14.47,6.46,3.06,12.04,14.37,5.06,7.89,7.16,5.74,7.01,5.11,2.36,0.8,0.91,0.71
6/27/2017,40,0.84,1.41,3.4,1.02,1.1,2.71,12.41,16.51,10.4,9.9,12.03,5.11,10.08,15.38,10.07,4.11,1.3,0.7,1.73,3.19,0.7,0.83,1.45,0.83
6/28/2017,40,1,0.99,0.99,1,5.25,5.19,20.93,21.02,13.1,17.75,17.95,5.7,9.3,6.47,3.57,3.17,1.31,0.31,1.21,0.9,0.7,0.89,1.5,0.42
6/29/2017,40,1.39,1.04,1.03,1.04,1.08,1.82,11.03,10.45,11.57,17.5,15.88,3.63,2.34,1.3,0.29,1.21,0.9,0.71,0.81,1.3,0.31,1.27,1,0.79
6/30/2017,40,0.97,0.99,0.96,1.35,1.05,1.59,16.69,16.59,9.83,14.22,9.11,4.07,8,6.88,1.3,1.2,0.97,0.7,0.82,1.3,0.31,1.27,1.05,0.4
7/1/2017,53,0.58,0.6,0.63,1.02,1.57,0.79,0.84,0.9,0.71,0.81,1.31,0.3,1.21,0.91,0.71,0.8,0.89,0.7,0.8,1.3,0.72,0.8,0.99,0.74
7/2/2017,53,0.8,0.81,1.21,0.8,0.91,0.71,0.81,1.3,0.3,1.2,0.9,0.69,0.8,0.9,0.7,0.8,2.82,3.22,4.2,4.98,0.92,0.89,1.42,0.87
7/3/2017,53,0.97,0.95,0.87,0.96,1.44,1.2,4.1,13.21,8.16,12.23,5.37,1.41,6.83,9.75,5.02,2.94,2.63,3.25,4.22,4.54,0.71,0.87,1.38,0.78
7/4/2017,53,0.97,0.95,0.97,0.97,1.59,0.78,0.83,0.91,0.7,0.8,1.31,0.71,0.8,0.89,0.7,0.8,1.3,0.71,0.8,0.9,0.71,0.8,1.31,0.76
7/5/2017,53,0.88,0.86,0.87,0.87,1.48,2.73,10.9,14.54,10.08,8.06,5.48,1.91,4.56,5.99,4.82,2.67,0.9,3.16,4.18,5.56,2.1,0.8,1.31,0.71
7/6/2017,53,0.8,0.8,0.85,0.88,1.38,2.3,15.11,19.04,11.73,10.97,13.03,4.24,10.2,9.7,2.66,2.31,0.9,0.7,0.81,1.31,0.7,0.81,0.91,0.71
7/7/2017,53,0.81,1.2,0.81,0.8,0.91,2.7,16.4,24.43,15.36,15.81,9.81,0.29,1.2,5.08,3.07,0.84,0.91,0.7,0.8,1.31,0.7,0.81,0.9,0.71
7/8/2017,53,0.8,0.81,1.21,0.81,0.9,0.71,0.8,1.29,0.3,1.19,0.9,0.69,0.8,0.9,0.7,0.79,1.31,0.7,1.22,0.91,0.7,0.81,2.15,2.8
7/9/2017,53,4.25,0.89,0.8,1.17,5.02,3.18,4.5,2.11,0.7,0.8,0.98,0.7,1.02,1.48,0.88,0.94,1.01,1.34,1.31,4.74,3.2,1.58,0.9,1.7
7/10/2017,53,0.9,0.81,1.2,0.95,5.09,4.84,22.83,27.16,11.38,14.87,20.59,9.85,17.92,9.68,2.07,1.59,5.51,3.26,2.5,3.26,3.19,2.98,1.3,0.71
7/11/2017,53,0.81,0.81,0.81,0.81,5.44,4.65,21.15,26.9,12.71,10.82,9.12,1.75,4.74,6.99,4.38,5.35,8.58,3.22,6.31,9.11,2.43,2.23,1.31,0.7
7/12/2017,53,0.82,0.81,0.81,0.82,6.1,6.8,21.64,29.73,13.99,9.44,18.31,11.09,15.9,6.97,5.27,1.41,4.79,3.23,4.22,5.11,2.73,0.81,1.31,0.7
7/13/2017,53,0.81,0.8,0.8,0.81,1.3,0.7,6.15,9.99,13.42,23.34,20.17,13.7,9.83,4.34,1.28,4.77,0.9,0.7,0.81,1.32,0.7,0.81,0.91,0.7
7/14/2017,53,0.85,1.25,0.87,0.87,0.96,2.14,19.33,27.97,19.91,14.95,12.35,5.07,8,6.4,5.12,3.64,0.91,1.42,0.81,1.3,0.31,3.34,4.92,0.7
7/15/2017,53,0.85,0.87,0.87,1.29,1.05,0.73,5.81,1.21,0.7,0.81,1.3,0.7,0.8,0.9,0.7,0.8,1.3,0.7,0.81,0.91,0.71,0.81,1.31,0.7
7/16/2017,53,0.8,0.8,0.81,1.13,5.47,3.22,5.13,5.86,3.07,1.55,3.4,3.31,4.11,2.66,0.71,0.85,3.48,0.7,0.81,0.9,0.69,0.81,1.31,0.71
7/17/2017,53,0.81,0.8,0.8,0.9,5.42,3.99,18.76,28.71,17.4,21.18,10.34,5.58,17.58,20.78,12.17,12.18,4.54,0.7,0.81,1.3,0.71,0.81,0.91,0.7
7/18/2017,53,0.81,0.8,1.2,1.34,5.13,6.05,21.36,31.04,18.77,9.27,5.04,0.82,2.78,3,0.74,1.13,0.91,0.7,0.81,1.32,0.71,0.82,0.92,0.71
